n_nodes,n_edges,mdl_bits,mdl_per_edge,mdl_per_node,place,radius_m
6,5,13.774437510817343,2.7548875021634687,2.2957395851362237,"Manhattan, New York, USA",500.0
74,129,747.6494450616397,5.795732132260772,10.103370879211347,"Manhattan, New York, USA",1000.0
227,424,3116.1931838885066,7.349512226152139,13.72772327704188,"Manhattan, New York, USA",1500.0
434,852,7004.4616526011805,8.221199122771338,16.13931256359719,"Manhattan, New York, USA",2000.0
705,1464,12947.092390991158,8.843642343573196,18.364670058143485,"Manhattan, New York, USA",2500.0
930,1948,17984.483416645195,9.232281014704926,19.338154211446447,"Manhattan, New York, USA",3000.0
1128,2352,22386.743752742674,9.51817336426134,19.84640403611939,"Manhattan, New York, USA",3500.0
1357,2802,27458.482482900807,9.799601171627696,20.23469600803302,"Manhattan, New York, USA",4000.0
1573,3254,32574.117520271928,10.010484794183137,20.708275600935746,"Manhattan, New York, USA",4500.0
1767,3656,37211.89791027407,10.178309056420698,21.05936497468821,"Manhattan, New York, USA",5000.0
1988,4132,42733.30324051387,10.342038538362505,21.495625372491887,"Manhattan, New York, USA",5500.0
2197,4578,47990.28114742374,10.482804968856213,21.843550818126417,"Manhattan, New York, USA",6000.0
2437,5071,53928.03824029546,10.634596379470608,22.12886263450778,"Manhattan, New York, USA",6500.0
2677,5590,60177.467640242794,10.765199935642718,22.47944252530549,"Manhattan, New York, USA",7000.0
2878,6021,65430.558764260735,10.867058422896651,22.734732023718117,"Manhattan, New York, USA",7500.0
3108,6514,71494.21625515896,10.975470717709388,23.00328708338448,"Manhattan, New York, USA",8000.0
3336,6984,77378.01135111522,11.07932579483322,23.194847527312714,"Manhattan, New York, USA",8500.0
3580,7513,83978.51145513574,11.177760076552076,23.457684764004398,"Manhattan, New York, USA",9000.0
3771,7927,89182.01036734878,11.250411299022174,23.649432608684375,"Manhattan, New York, USA",9500.0
3912,8233,93047.12989947668,11.301728397847283,23.785053655285452,"Manhattan, New York, USA",10000.0
43,102,459.41991702474553,4.504116833575937,10.684184116854547,"San Francisco, California, USA",500.0
189,504,3307.039510652355,6.561586330659435,17.49756354842516,"San Francisco, California, USA",1000.0
423,1145,8836.975371616843,7.717882420626064,20.891194731954712,"San Francisco, California, USA",1500.0
752,2046,17485.36817624849,8.546123253298381,23.25181938330916,"San Francisco, California, USA",2000.0
1139,3101,28363.47346387464,9.146557066712235,24.902083813761756,"San Francisco, California, USA",2500.0
1754,4710,46115.67966883748,9.79101479168524,26.291721589987162,"San Francisco, California, USA",3000.0
2441,6578,67513.89000252676,10.26358923723423,27.65829168477131,"San Francisco, California, USA",3500.0
3250,8713,93094.52025859265,10.684554144220435,28.64446777187466,"San Francisco, California, USA",4000.0
4092,10958,120744.90484665071,11.01888162499094,29.50755250406909,"San Francisco, California, USA",4500.0
4883,13301,149628.9521290004,11.249451329148213,30.64283271124317,"San Francisco, California, USA",5000.0
5703,15648,179374.08141927444,11.463067575362631,31.45258309999552,"San Francisco, California, USA",5500.0
6580,18163,211796.9110153525,11.660899136450613,32.187980397469985,"San Francisco, California, USA",6000.0
7495,20727,245535.60399671216,11.846171852979793,32.75992047988154,"San Francisco, California, USA",6500.0
8554,23601,284162.35322333255,12.040267498128577,33.21982151313217,"San Francisco, California, USA",7000.0
9308,25663,312144.7495435283,12.163221351499368,33.53510416239023,"San Francisco, California, USA",7500.0
9643,26688,325827.3956755621,12.208760329569923,33.78900712180464,"San Francisco, California, USA",8000.0
9823,27135,332082.7705155694,12.238171015867678,33.80665484226503,"San Francisco, California, USA",8500.0
9886,27289,334248.13297094917,12.248456629812349,33.810250148791134,"San Francisco, California, USA",9000.0
9892,27299,334403.99112166296,12.249679150212936,33.80549849592226,"San Francisco, California, USA",9500.0
9892,27299,334403.99112166296,12.249679150212936,33.80549849592226,"San Francisco, California, USA",10000.0
35,63,289.98489475907934,4.602934837445704,8.285282707402267,"Detroit, Michigan, USA",500.0
144,305,1981.964168043893,6.498243173914403,13.76364005586037,"Detroit, Michigan, USA",1000.0
253,566,4100.911201886227,7.245426151742451,16.209135185321056,"Detroit, Michigan, USA",1500.0
402,958,7499.909367338332,7.828715414758175,18.65649096352819,"Detroit, Michigan, USA",2000.0
565,1426,11750.410824166056,8.240119792542817,20.79718729940895,"Detroit, Michigan, USA",2500.0
800,2098,18229.6443378812,8.689058311668827,22.7870554223515,"Detroit, Michigan, USA",3000.0
1062,2831,25693.4346377511,9.075745191717097,24.19344127848503,"Detroit, Michigan, USA",3500.0
1406,3780,35794.693669967186,9.4694956798855,25.458530348483063,"Detroit, Michigan, USA",4000.0
1856,4914,48614.871551515076,9.893136253869573,26.193357516980107,"Detroit, Michigan, USA",4500.0
2354,6145,63029.75798410209,10.257080225240372,26.77559812408755,"Detroit, Michigan, USA",5000.0
2920,7561,79995.8662404963,10.58006430901948,27.39584460290969,"Detroit, Michigan, USA",5500.0
3472,8957,97053.65620902904,10.835509234010164,27.95324199568809,"Detroit, Michigan, USA",6000.0
4078,10564,116857.35903416794,11.061847693503212,28.655556408574775,"Detroit, Michigan, USA",6500.0
4721,12342,138971.59892906237,11.260055009646926,29.4368987352388,"Detroit, Michigan, USA",7000.0
5525,14555,167033.70306124285,11.47603593687687,30.232344445473817,"Detroit, Michigan, USA",7500.0
6416,17072,199357.32366442177,11.67744398221777,31.071902067397406,"Detroit, Michigan, USA",8000.0
7241,19481,230579.56878561774,11.836125906556015,31.843608449885064,"Detroit, Michigan, USA",8500.0
8071,21810,261423.26120834716,11.986394369937972,32.39044247408588,"Detroit, Michigan, USA",9000.0
8987,24426,296365.9295829923,12.133215818512744,32.97718143796509,"Detroit, Michigan, USA",9500.0
9942,27024,331823.44074212655,12.278842537822918,33.375924435941116,"Detroit, Michigan, USA",10000.0
37,72,329.1258346099592,4.571192147360545,8.895292827296196,"Seattle, Washington, USA",500.0
126,311,1889.672816673164,6.0761183815857365,14.997403306929874,"Seattle, Washington, USA",1000.0
324,824,6114.092690491253,7.420015401081618,18.870656452133495,"Seattle, Washington, USA",1500.0
577,1512,12422.927274042566,8.216221742091644,21.530203247907394,"Seattle, Washington, USA",2000.0
918,2390,21268.42985548498,8.898924625725934,23.168224243447693,"Seattle, Washington, USA",2500.0
1346,3585,33770.44941424095,9.419930101601382,25.089486934800114,"Seattle, Washington, USA",3000.0
1847,4888,48326.43991714987,9.88675121054621,26.164829408310705,"Seattle, Washington, USA",3500.0
2328,6179,63130.9752904571,10.217021409687183,27.118116533701503,"Seattle, Washington, USA",4000.0
2842,7546,79268.64308689305,10.504723441146707,27.891851895458498,"Seattle, Washington, USA",4500.0
3398,9007,96962.637507042,10.765253414793161,28.535208212784582,"Seattle, Washington, USA",5000.0
3995,10540,116000.63435773554,11.005752785363903,29.036454157130297,"Seattle, Washington, USA",5500.0
4590,12083,135443.40473404745,11.209418582640689,29.508367044454783,"Seattle, Washington, USA",6000.0
5090,13360,151808.8077978247,11.362934715406041,29.824913123344736,"Seattle, Washington, USA",6500.0
5617,14783,170023.40143355276,11.501278592542295,30.269432336398925,"Seattle, Washington, USA",7000.0
6138,16208,188410.32464492193,11.624526446503081,30.695719231821755,"Seattle, Washington, USA",7500.0
6728,17841,209648.2860970303,11.750926859314518,31.16056571002234,"Seattle, Washington, USA",8000.0
7368,19566,232444.71635125947,11.880032523318995,31.54787138317854,"Seattle, Washington, USA",8500.0
8020,21355,256228.45339099385,11.99852275303179,31.948684961470555,"Seattle, Washington, USA",9000.0
8751,23314,282650.688240002,12.123646231449001,32.29924445663376,"Seattle, Washington, USA",9500.0
9495,25245,309108.1993415794,12.244333505311127,32.55483931980826,"Seattle, Washington, USA",10000.0
